condition,sample,code,filename
N2C,N2C1,B470001,B470001.1.fq
N2C,N2C2,B470002,B470002.1.fq
N2C,N2C3,B470003,B470003.1.fq
N2A,N2A1,B470004,B470004.1.fq
N2A,N2A2,B470005,B470005.1.fq
N2A,N2A3,B470006,B470006.1.fq
N2B,N2B1,B470007,B470007.1.fq
N2B,N2B2,B470008,B470008.1.fq
N2B,N2B3,B470009,B470009.1.fq
N2D,N2D1,B470010,B470010.1.fq
N2D,N2D2,B470011,B470011.1.fq
N2D,N2D3,B470012,B470012.1.fq
N2AD,N2AD1,B470013,B470013.1.fq
N2AD,N2AD2,B470014,B470014.1.fq
N2AD,N2AD3,B470015,B470015.1.fq
DC,DC1,B470016,B470016.1.fq
DC,DC2,B470017,B470017.1.fq
DC,DC3,B470018,B470018.1.fq
DA,DA1,B470019,B470019.1.fq
DA,DA2,B470020,B470020.1.fq
DA,DA3,B470021,B470021.1.fq
DB,DB1,B470022,B470022.1.fq
DB,DB2,B470023,B470023.1.fq
DB,DB3,B470024,B470024.1.fq
DD,DD1,B470025,B470025.1.fq
DD,DD2,B470026,B470026.1.fq
DD,DD3,B470027,B470027.1.fq
DAD,DAD1,B470028,B470028.1.fq
DAD,DAD2,B470029,B470029.1.fq
DAD,DAD3,B470030,B470030.1.fq
